"インターネット","世界中のコンピュータを物理的につないだネットワークそのもの。「道路網」のイメージ","ch01"
"Web（WWW）","インターネット上で動くサービスのひとつ。文書同士をリンクでつなぐ仕組み","ch01"
"ハイパーテキスト","文書から別の文書へリンクで飛べる仕組み。Web の「Web（クモの巣）」の由来","ch01"
"クライアント","情報を「お願いする側」。あなたのブラウザ","ch01"
"サーバー","情報を「提供する側」。Web のどこかでずっと起動しているコンピュータ","ch01"
"リクエスト / レスポンス","クライアントの「要求」とサーバーの「応答」。Web の通信はこのペアの繰り返し","ch01"
"URL","リソースの「住所」。https://example.com/path の形","ch01"
"HTTP","Web 上でのやり取りの「作法（プロトコル）」。Chapter 3 の主役","ch01"
"HTML","Web ページの「構造」を書くためのマークアップ言語。プログラミング言語ではない","ch01"
"DNS","ドメイン名（example.com）を IP アドレスに変換する仕組み。「名前解決」","ch01"
"IP アドレス","ネットワーク上のコンピュータの「番地」。数字の羅列（例: 93.184.216.34）","ch01"
"TCP","確実にデータを届けるための通信方式。HTTP はこの上で動いている","ch01"
"TLS / HTTPS","通信を暗号化する仕組み。HTTPS は「TLS で守られた HTTP」","ch01"
"レンダリング","ブラウザが受け取った HTML を画面上の絵に変換する処理。「描画」","ch01"
"静的サイト / 動的サイト","誰が見ても同じものが返るのが静的。アクセスごとに中身を組み立てるのが動的","ch01"
"Web サイト / Web アプリ / Web サービス","見るためのページ群 / ブラウザ内で動くアプリ / API として機能を提供するもの","ch01"
"API","プログラムからプログラムへ機能を呼び出すための窓口。Chapter 5 で自作する","ch01"
"レイヤ（層）","ネットワーク機能の分業構造 ／ 身近な実例: 家 Wi-Fi でも 4G でも YouTube が同じく観られる","ch02"
"OSI / TCP-IP モデル","レイヤの代表的な 2 つのモデル ／ 身近な実例: 試験対策の OSI、実務の TCP/IP","ch02"
"IPv4 / IPv6","IP アドレスの 2 つの規格 ／ 身近な実例: スマホの「Wi-Fi 詳細」で両方見える","ch02"
"グローバル IP / プライベート IP","公開ネット用 / 家庭内用 ／ 身近な実例: whatismyip.com の数字 / 192.168.x.x","ch02"
"ループバック (127.0.0.1 / localhost)","「自分自身」を指す特別な IP ／ 身近な実例: http://localhost:3000","ch02"
"MAC アドレス","ハードウェアごとの一意な ID ／ 身近な実例: 大学 Wi-Fi 登録のあれ","ch02"
"NAT","プライベート IP ↔ グローバル IP の翻訳 ／ 身近な実例: 家中のデバイスがグローバル IP 1 つを共有","ch02"
"ポート番号","サービスを区別する番号 ／ 身近な実例: http://localhost:3000 の :3000","ch02"
"ウェルノウンポート","0〜1023 の予約済みポート ／ 身近な実例: HTTP=80, HTTPS=443, DNS=53","ch02"
"DNS リゾルバ","ドメインから IP を引く仲介役 ／ 身近な実例: 8.8.8.8（Google）、1.1.1.1（Cloudflare）","ch02"
"A / AAAA / CNAME / MX レコード","DNS が返す情報の種類 ／ 身近な実例: www.example.com → example.com は CNAME","ch02"
"TCP（Ch2）","確実に届く通信方式 ／ 身近な実例: Web 閲覧、Amazon の購入、LINE のテキスト","ch02"
"UDP","速さ優先の通信方式 ／ 身近な実例: FPS、Discord 音声通話、Zoom","ch02"
"3-way ハンドシェイク","TCP の接続確立 3 往復 ／ 身近な実例: 海外サイト初回が重い一因","ch02"
"TLS（Ch2）","通信の暗号化 ／ 身近な実例: HTTPS = HTTP + TLS","ch02"
"scheme / host / port / path / query / fragment","URL の構成要素 ／ 身近な実例: Google 検索 URL の ?q=... が query","ch02"
"fragment (#...)","ブラウザ内処理用、サーバー非送信 ／ 身近な実例: Wikipedia の見出しジャンプ #メソッド","ch02"
"HTTP リクエスト / レスポンス","クライアント要求 / サーバー応答のテキスト ／ 身近な実例: 開発者ツールの Network タブの 1 行 1 行","ch03"
"リクエストライン","リクエストの 1 行目（メソッド + パス + バージョン）／ 身近な実例: GET /search?q=web HTTP/1.1","ch03"
"ステータスライン","レスポンスの 1 行目（バージョン + コード + 理由）／ 身近な実例: HTTP/1.1 200 OK","ch03"
"ヘッダー","本文に添えるメタ情報の 名前: 値 の行 ／ 身近な実例: Content-Type, User-Agent, Cookie","ch03"
"ボディ","本文。HTML / JSON / 画像など何でも入る ／ 身近な実例: レスポンスの中身そのもの","ch03"
"GET / POST / PUT / PATCH / DELETE","サーバーに何を頼むか（読む/作る/上書き/部分更新/消す）／ 身近な実例: ページ表示 / 投稿 / プロフ編集 / 削除","ch03"
"冪等（idempotent）","何度実行しても結果が同じ ／ 身近な実例: DELETE を 2 回押しても「消えてる」は変わらない","ch03"
"2xx / 3xx / 4xx / 5xx","成功 / リダイレクト / クライアントエラー / サーバーエラー ／ 身近な実例: 200 OK, 404, 500","ch03"
"404 / 403 / 401","ない / 禁止 / 名乗ってない ／ 身近な実例: リンク切れの定番画面","ch03"
"500 / 502 / 503","アプリのバグ / 前段が繋げない / 意図的に拒否 ／ 身近な実例: サーバー障害の原因切り分けに使う","ch03"
"Content-Type","ボディの形式を伝える HTTP ヘッダー ／ 身近な実例: application/json, text/html","ch03"
"Cookie / Set-Cookie","状態を保持するための小さなテキスト ／ 身近な実例: ログインの継続、カートの中身","ch03"
"HttpOnly / Secure / SameSite","Cookie のセキュリティ属性 ／ 身近な実例: セッション ID は HttpOnly + Secure が定番","ch03"
"セッション","サーバー側で同じユーザーの連続アクセスをまとめる概念 ／ 身近な実例: ログイン状態の維持","ch03"
"ステートレス","サーバーは前回の通信を覚えない ／ 身近な実例: だから Cookie が必要","ch03"
"HTTPS / TLS（Ch3）","HTTP に暗号化レイヤをかぶせたもの ／ 身近な実例: URL バーの鍵マーク","ch03"
"証明書","サーバーが本物であることを示す書類 ／ 身近な実例: 鍵マークをクリックすると見られる","ch03"
"HTTP/1.1 / HTTP/2 / HTTP/3","プロトコルのバージョン ／ 身近な実例: 開発者ツールの Protocol 列","ch03"
"CORS","別ドメインへの JS からの通信を制御する仕組み ／ 身近な実例: Ch5 でわざと出して直す","ch03"
"HTML（Ch4）","Web ページの構造を書くマークアップ言語 ／ 身近な実例: Ctrl + U でソース表示","ch04"
"タグ / 属性","HTML の要素と、それに添える情報 ／ 身近な実例: <a href=\"...\"></a>","ch04"
"JSON","データ構造を表現するテキスト形式 ／ 身近な実例: API のレスポンスはほぼ全部これ","ch04"
"XML","JSON の前世代の表現形式 ／ 身近な実例: RSS フィード、Office ファイルの中身","ch04"
"CSV / TSV","行 1 件・カンマ（タブ）区切りの素朴な形式 ／ 身近な実例: Excel、Google フォーム、銀行明細","ch04"
